Date,kp,ap,sn,f107
2010-01-01,0.125,0.5,18,75.2
2010-01-02,0.208125,1.25,21,78.0
2010-01-03,0.875,3.5,16,76.4
2010-01-04,0.41650000000000004,1.875,15,73.0
2010-01-05,0.25,1.125,10,76.8
2010-01-06,0.20825,1.125,0,77.3
2010-01-07,0.083375,0.375,0,78.1
2010-01-08,0.166625,0.875,15,77.4
2010-01-09,0.1665,1.0,15,81.7
2010-01-10,0.66675,2.625,22,84.4
2010-01-11,1.625,6.25,37,89.2
2010-01-12,0.958375,3.625,35,93.3
2010-01-13,1.70825,7.0,31,90.5
2010-01-14,1.083375,4.125,26,89.9
2010-01-15,0.958125,4.0,26,85.3
2010-01-16,0.20825,1.125,23,84.2
2010-01-17,0.12487500000000001,0.75,18,82.6
2010-01-18,0.625,2.75,13,81.5
2010-01-19,0.20825,1.125,0,84.2
2010-01-20,2.083375,12.0,13,81.7
2010-01-21,1.20825,5.0,18,82.6
2010-01-22,0.7501249999999999,3.125,31,82.4
2010-01-23,1.249875,4.875,38,84.6
2010-01-24,1.08325,4.25,38,84.6
2010-01-25,0.7498750000000001,3.125,34,81.2
2010-01-26,0.7498750000000001,3.25,25,79.8
2010-01-27,0.16662500000000002,0.875,13,77.8
2010-01-28,0.70825,3.0,12,76.3
2010-01-29,0.29175,1.375,12,73.3
2010-01-30,1.33325,5.0,12,75.0
2010-01-31,1.041625,4.25,16,75.3
2010-02-01,1.9585,8.75,17,75.3
2010-02-02,2.083375,9.625,14,75.2
2010-02-03,2.166875,9.625,14,74.4
2010-02-04,0.6248750000000001,2.5,12,73.9
2010-02-05,0.45825000000000005,2.25,12,77.8
2010-02-06,1.041625,4.25,36,87.5
2010-02-07,0.75,3.125,38,90.3
2010-02-08,1.041625,4.375,59,93.7
2010-02-09,0.58325,2.75,56,91.4
2010-02-10,0.708375,3.0,50,91.3
2010-02-11,1.375,5.125,44,94.2
2010-02-12,1.41675,6.125,41,95.5
2010-02-13,0.9998750000000001,4.125,43,94.1
2010-02-14,0.875,3.875,33,89.4
2010-02-15,2.625,13.625,30,87.6
2010-02-16,1.999875,9.375,30,86.8
2010-02-17,1.249875,6.125,43,86.9
2010-02-18,1.124875,4.875,23,85.0
2010-02-19,1.04175,4.125,20,83.7
2010-02-20,0.166625,0.875,20,83.8
2010-02-21,0.29175000000000006,1.375,17,83.5
2010-02-22,1.166625,4.375,17,83.7
2010-02-23,0.5831250000000001,2.5,15,84.2
2010-02-24,0.791625,3.5,30,82.6
2010-02-25,0.791625,3.375,29,82.7
2010-02-26,0.416625,2.0,27,80.5
2010-02-27,0.25,1.125,14,78.6
2010-02-28,0.5,2.25,14,78.1
2010-03-01,1.291625,4.875,23,77.9
2010-03-02,0.9998750000000001,4.0,37,79.4
2010-03-03,1.95825,7.625,36,80.4
2010-03-04,1.66675,6.625,39,81.3
2010-03-05,0.79175,3.25,28,79.5
2010-03-06,0.833375,3.625,0,78.3
2010-03-07,1.083375,4.625,12,76.6
2010-03-08,0.625,2.75,17,76.3
2010-03-09,0.541625,2.375,0,77.9
2010-03-10,1.958375,9.0,0,80.3
2010-03-11,2.041875,9.5,34,84.2
2010-03-12,2.125,8.75,36,89.6
2010-03-13,0.7082499999999999,2.875,31,91.8
2010-03-14,1.41675,5.625,33,89.4
2010-03-15,0.5415,2.375,27,86.4
2010-03-16,0.875,3.5,23,85.2
2010-03-17,1.458375,7.125,28,86.7
2010-03-18,1.29175,5.5,30,85.8
2010-03-19,0.7917500000000001,3.25,22,84.4
2010-03-20,1.625125,6.375,14,83.5
2010-03-21,0.24987499999999999,1.375,22,84.8
2010-03-22,0.041625,0.25,17,82.5
2010-03-23,0.20825,1.125,14,83.9
2010-03-24,0.83325,3.25,17,84.4
2010-03-25,1.458375,5.875,23,87.6
2010-03-26,0.875,3.25,22,85.9
2010-03-27,0.791625,3.375,34,88.1
2010-03-28,1.416625,5.875,31,86.0
2010-03-29,1.08325,4.375,33,83.2
2010-03-30,1.5835,6.875,33,82.8
2010-03-31,1.250125,4.75,27,81.0
2010-04-01,2.541625,12.0,22,79.2
2010-04-02,2.7501249999999997,13.125,22,76.2
